"Date";"Building";"Contents";"Profits";"Total"
1980-01-03;1.09809663;0.5856515;0;1.683748
1980-01-04;1.75695461;0.3367496;0;2.093704
1980-01-05;1.73258126;0;0;1.732581
1980-01-07;0;1.305376;0.474377745;1.779754
1980-01-07;1.24450952;3.367496;0;4.612006
1980-01-10;4.45203953;4.273234;0;8.725274
1980-01-10;2.49487555;3.543192;1.86090776;7.898975
1980-01-16;0.7756896;0.9931171;0.439238653;2.208045
1980-01-16;0.81259151;0.6734993;0;1.486091
1980-01-19;2.37157394;0.1683748;0.256222548;2.796171
1980-01-21;0;7.320644;0;7.320644
1980-01-21;3.36749634;0;0;3.367496
1980-01-24;1.46412884;0;0;1.464129
1980-01-25;1.72222255;0;0;1.722223
1980-01-26;6.91800878;4.456808;0;11.374817
1980-01-26;1.602306;0.8804334;0;2.482739
1980-01-28;18.30161054;7.913031;0;26.214641
1980-02-03;1.54562225;0.4568082;0;2.00243
1980-02-05;4.39238653;0.1376281;0;4.530015
1980-02-07;1.12098829;0.7207643;0;1.841753
1980-02-10;3.80673499;0;0;3.806735
1980-02-13;10.2489019;3.873174;0;14.122076
1980-02-16;3.08164714;2.342606;0;5.424253
1980-02-19;2.92825769;8.784773;0;11.713031
1980-02-20;0.95900439;0.556369;0;1.515373
1980-02-21;2.53858858;0;0;2.538589
1980-02-22;1.75695461;0.2928258;0;2.04978
1980-02-23;3.80673499;8.658858;0;12.465593
1980-02-25;1.7354451;0;0;1.735445
1980-02-27;0.5124451;1.171303;0;1.683748
1980-03-07;0.66774963;2.436483;0.219619327;3.323852
1980-03-13;1.67461201;0.07320644;0.073206442;1.821025
1980-03-13;0.07320644;2.342606;0;2.415813
1980-03-13;0;1.464129;0;1.464129
1980-03-17;4.39238653;0.8978638;0.585651537;5.875902
1980-03-20;1.79243924;0;0;1.792439
1980-03-21;3.33821376;0;0;3.338214
1980-03-22;1.58448755;0;0;1.584488
1980-03-26;0.62265593;1.308665;0;1.931321
1980-04-06;2.04978038;0;0;2.04978
1980-04-10;1.57375842;0;0;1.573758
1980-04-11;1.75695461;0;0;1.756955
1980-04-14;4.93118594;0;0;4.931186
1980-04-15;5.41727672;0;0;5.417277
1980-04-16;0.73206442;0.8052709;0;1.537335
1980-04-25;17.56954612;0;0;17.569546
1980-04-25;1.69112299;0;0;1.691123
1980-04-26;1.58161201;0;0;1.581612
1980-05-01;0.36901903;1.098097;0;1.467116
1980-05-01;1.02489019;1.02489;0;2.04978
1980-05-02;1.08898975;0.8397218;0;1.928712
1980-05-02;2.12430307;1.138851;0;3.263154
1980-05-04;0.89897511;0.8052709;0;1.704246
1980-05-07;2.07460761;0;0;2.074608
1980-05-09;1.09809663;2.196193;0;3.29429
1980-05-10;1.83997511;0;0;1.839975
1980-05-16;7.32064422;0;0;7.320644
1980-05-18;5.85651537;1.464129;0;7.320644
1980-05-20;1.57621523;0;0;1.576215
1980-05-20;4.8560981;0;0;4.856098
1980-05-21;1.54227526;0;0;1.542275
1980-05-26;9.3250366;4.295754;0;13.620791
1980-05-29;0.73206442;1.02489;0;1.756955
1980-05-29;1.6398243;0;0;1.639824
1980-06-02;2.03637775;0;0;2.036378
1980-06-03;7.32064422;14.64129;0;21.961933
1980-06-11;1.79902635;0;0;1.799026
1980-06-12;2.30600293;0.1464129;0;2.452416
1980-06-15;1.24450952;1.424597;0;2.669107
1980-06-15;2.02414641;0;0;2.024146
1980-06-16;0.61200586;1.112738;0;1.724744
1980-06-17;1.64386384;0;0;1.643864
1980-06-21;1.17130307;0.7906296;0;1.961933
1980-06-30;3.80673499;0.8199122;0;4.626647
1980-07-02;1.46412884;0;0;1.464129
1980-07-04;0.94670571;2.060029;0.956515373;3.96325
1980-07-04;1.1132123;4.45064;0;5.563852
1980-07-07;0;4.392387;0;4.392387
1980-07-10;3.64031332;0;0;3.640313
1980-07-12;1.29575403;0.3821376;0;1.677892
1980-07-14;1.15666179;0.2928258;0;1.449488
1980-07-15;95.16837482;106.1493;61.932650073;263.250366
1980-07-25;0;2.500732;0;2.500732
1980-07-26;1.58272328;0.05270864;0.19033675;1.825769
1980-07-26;9.88286969;0;0;9.88287
1980-07-28;1.04852123;1.098097;0;2.146618
1980-07-29;0;2.870259;0;2.870259
1980-08-07;4.27804246;1.157665;0.884206442;6.319914
1980-08-08;2.1234612;0;0;2.123461
1980-08-08;2.48901903;0.4348463;0;2.923865
1980-08-11;1.03672767;0.867877;0.131771596;2.036376
1980-08-18;0.05270864;1.683748;0;1.736457
1980-08-18;2.04978038;0;0;2.04978
1980-08-20;1.9033675;0;0;1.903367
1980-08-21;1.61054173;0;0;1.610542
1980-08-23;1.46412884;0.2532943;0;1.717423
1980-08-23;0;2.375512;0.753925329;3.129438
1980-08-27;1.45166471;0.6002928;0;2.051958
1980-08-28;1.9675183;0;0;1.967518
1980-08-28;0.5124451;1.590044;0;2.102489
1980-08-28;0;2.380673;0.878477306;3.259151
1980-08-30;1.99853587;0;0;1.998536
1980-08-30;0.14641288;5.270864;0;5.417277
1980-09-02;2.81983602;0;0;2.819836
1980-09-04;3.27298536;0;0.424098097;3.697083
1980-09-05;1.75695461;0.2884334;0;2.045388
1980-09-05;2.67935578;0;0;2.679356
1980-09-08;0.55595461;2.064999;0.805270864;3.426224
1980-09-11;1.31771596;0.2708638;0;1.58858
1980-09-12;1.33461347;2.928258;0;4.262871
1980-09-12;1.24341435;0.5124451;0;1.755859
1980-09-14;1.98700586;0;0;1.987006
1980-09-15;1.66192533;0;0;1.661925
1980-09-15;5.41727672;2.196193;0;7.61347
1980-09-15;1.79487848;0;0;1.794878
1980-09-15;5.02767204;1.464129;0.183016105;6.674817
1980-09-25;0.23426061;1.893119;0.058565154;2.185944
1980-09-28;0;3.855051;0;3.855051
1980-09-30;0.43923865;2.342606;0.439238653;3.221083
1980-10-01;0.65885798;1.171303;0.292825769;2.122987
1980-10-01;0;1.467466;0.292825769;1.760291
1980-10-06;1.57313177;0.3953148;0.073206442;2.041653
1980-10-07;3.75593851;0;0;3.755939
1980-10-07;1.75695461;0.4851567;0;2.242111
1980-10-08;1.32579795;0.3953148;0;1.721113
